"Date","Data"
"2015-04-03","0.179141148924828"
"2015-04-06","0.18049244582653"
"2015-04-08","0.15247206389904"
"2015-04-11","0.243193924427032"
"2015-04-14","0.2522813975811"
"2015-04-16","0.195733562111855"
"2015-04-19","0.260733187198639"
"2015-04-22","0.195253640413284"
"2015-04-24","0.306839287281036"
"2015-04-27","0.292464226484299"
"2015-04-30","0.212270230054855"
"2015-05-05","0.169201642274857"
"2015-05-08","0.174330741167068"
"2015-05-10","0.219082802534103"
"2015-05-16","0.283751487731934"
"2015-05-18","0.291740953922272"
"2015-05-21","0.267108738422394"
"2015-05-24","0.347415894269943"
"2015-05-26","0.304461002349854"
"2015-05-29","0.349850684404373"
"2015-06-01","0.27887836098671"
"2015-06-03","0.236199051141739"
"2015-06-06","0.190946236252785"
"2015-06-09","0.145901694893837"
"2015-06-11","0.150253057479858"
"2015-06-14","0.239667996764183"
"2015-06-19","0.288410127162933"
"2015-06-22","0.275751322507858"
"2015-06-25","0.230817526578903"
"2015-06-27","0.210432603955269"
"2015-06-30","0.184710904955864"
"2015-07-03","0.186223939061165"
"2015-07-05","0.177861556410789"
"2015-07-08","0.155639484524727"
"2015-07-11","0.154101684689522"
"2015-07-13","0.149346068501472"
"2015-07-16","0.131799474358559"
"2015-07-19","0.139367058873177"
"2015-07-21","0.14725387096405"
"2015-07-24","0.131428137421608"
"2015-07-27","0.138597041368484"
"2015-07-29","0.136194407939911"
"2015-08-01","0.181683480739594"
"2015-08-04","0.157961905002594"
"2015-08-06","0.152624353766441"
"2015-08-09","0.142290890216827"
"2015-08-12","0.155958846211433"
"2015-08-14","0.177554652094841"
"2015-08-17","0.173193529248238"
"2015-08-20","0.152508482336998"
"2015-08-22","0.181336656212807"
"2015-08-25","0.156747579574585"
"2015-08-28","0.160055875778198"
"2015-08-30","0.133536517620087"
"2015-09-02","0.152644455432892"
"2015-09-05","0.152036786079407"
"2015-09-07","0.169384241104126"
"2015-09-10","0.168048188090324"
"2015-09-13","0.190434768795967"
"2015-09-15","0.115634694695473"
"2015-09-18","0.182000666856766"
"2015-09-21","0.147679328918457"
"2015-09-23","0.16759529709816"
"2015-09-26","0.19055213034153"
"2015-09-29","0.15566098690033"
"2015-10-01","0.168842881917953"
"2015-10-04","0.149995550513268"
"2015-10-07","0.157576337456703"
"2015-10-09","0.151762783527374"
"2015-10-12","0.143473282456398"
"2015-10-15","0.132525786757469"
"2015-10-17","0.160955145955086"
"2015-10-20","0.126957044005394"
"2015-10-23","0.220079928636551"
"2015-10-25","0.335512340068817"
"2015-10-28","0.251235783100128"
"2015-10-31","0.363588362932205"
"2015-11-02","0.286738067865372"
"2015-11-05","0.278104156255722"
"2015-11-08","0.296098351478577"
"2015-11-10","0.260513663291931"
"2015-11-13","0.23823007941246"
"2015-11-16","0.183175459504128"
"2015-11-18","0.267838150262833"
"2015-11-21","0.199902594089508"
"2015-11-24","0.20964427292347"
"2015-11-26","0.219427078962326"
"2015-11-29","0.289914309978485"
"2015-12-02","0.260203897953033"
"2015-12-04","0.244631990790367"
"2015-12-07","0.245726317167282"
"2015-12-10","0.204582929611206"
"2015-12-12","0.22858726978302"
"2015-12-18","0.252088069915771"
"2015-12-20","0.230766743421555"
"2015-12-23","0.218900471925735"
"2015-12-26","0.214615568518639"
"2015-12-28","0.295271813869476"
"2015-12-31","0.273384988307953"
"2016-01-03","0.294926017522812"
"2016-01-05","0.276633650064468"
"2016-01-08","0.274858832359314"
"2016-01-11","0.260623931884766"
"2016-01-13","0.25419357419014"
"2016-01-16","0.230551198124886"
"2016-01-19","0.221482828259468"
"2016-01-21","0.210845276713371"
"2016-01-24","0.215351492166519"
"2016-01-27","0.251318097114563"
"2016-01-29","0.238072499632835"
"2016-02-01","0.220841735601425"
"2016-02-04","0.198437675833702"
"2016-02-06","0.194636344909668"
"2016-02-09","0.192638322710991"
"2016-02-12","0.173803329467773"
"2016-02-14","0.187577083706856"
"2016-02-17","0.185429856181145"
"2016-02-20","0.164194330573082"
"2016-02-22","0.221083104610443"
"2016-02-25","0.239336892962456"
"2016-02-28","0.224584206938744"
"2016-03-01","0.21957004070282"
"2016-03-04","0.204738512635231"
"2016-03-07","0.171746239066124"
"2016-03-09","0.345454484224319"
"2016-03-12","0.298156023025513"
"2016-03-20","0.262700438499451"
